;id;nom;elo
100;2426139.0;CHAMARA DE GUEZ;1522.3259365566043
101;2407404.0;CHANELLE DU NOYER;1454.8866374674417
102;2399412.0;CANONE DU BOCAGE;1587.0443630455263
103;2412815.0;CLAIRETTE DE BEAUM;1459.238973256416
104;2400722.0;CARTOUCHE TIVOLI;1486.305333126483
105;2420346.0;CORNALINE D'ORIENT;1527.5504767412383
106;2396457.0;CITY LIFE;1463.360799421936
107;2444496.0;CARLA DU CHATELET;1528.3741328240017
108;2408658.0;CINARCA;1451.4627042454727
109;2414978.0;CLEMENCE D'EM;1523.8746131216983
110;2442833.0;CAMERA D'OR;1504.2404548461097
111;2400822.0;CAPUCINE DE MESLAY;1473.7802884891394
112;2417976.0;CROISETTE;1498.067596086702
113;2448160.0;DIANE DU PARCQ;1541.412453947346
114;2448105.0;DAILY UP;1500.6532174578322
115;2465521.0;DOUCHKA TURGOT;1451.1443299493594
116;2465514.0;DEESSE DU RELAIS;1491.9061981515956
117;2448551.0;DIANE DE FREDLAU;1496.5522977151816
118;2458338.0;DORIA RAUDIERE;1491.2597963932938
119;2441631.0;DUBARA;1461.3668106248463
120;2466170.0;DURZIE;1508.1552958424609
121;2480180.0;DEDICATE OF CITRUS;1495.306281203948
122;2440185.0;DOLCE VITA GRIFF;1511.3451820832977
123;2448777.0;DALIXORIA;1491.6283048461132
124;2484645.0;ELENA DE PIENCOURT;1517.8516804151348
125;2494082.0;ELENA PRINCESSE;1492.4948981344623
126;2487550.0;ELSA DU POMMEREUX;1511.2240199803318
127;2485404.0;EVOLUTION;1520.328394059871
128;2491669.0;ELEVATION;1476.7913701438938
129;2486462.0;EXOTIC DESTINATION;1509.7578583034278
130;2488709.0;ENVOLEE DESTINEE;1483.9838861883113
131;2488941.0;ELISIONE MAG;1565.4582278159496
132;2483854.0;ECUME DES LOUANGES;1489.152667552953
133;2478399.0;CARLTON CHOICE;1552.684855096804
134;2492026.0;POWER BECQUA;1546.5390694288328
135;2478729.0;PAUL SOTO;1517.7226489806108
136;2480851.0;NOT NOW DICK;1539.6507517053954
137;2466691.0;PYRAMID BURG;1478.474570884649
138;2477387.0;SUFRAH;1461.1201652209288
139;2500662.0;BRIOUZE;1534.5132436226897
140;2446817.0;ROMEO DE TEILLEE;1517.6781017962664
141;2409731.0;LA BAGHERA;1497.7405674007473
142;2408177.0;BIMBO DE CANDALE;1502.9046349346067
143;2420268.0;CENT ANS;1544.4190304843578
144;2431555.0;NET LADY;1513.3471068864305
145;2391954.0;KAPFOLIE;1471.6582919167433
146;2385083.0;BIEN NE;1490.0
147;2413055.0;BARTON CREEK;1516.5677843438034
148;2439278.0;CAPROC DE KERSER;1504.0
149;2445559.0;CUTTING KING;1464.252496515128
150;2477355.0;CALOMEL DE KERZA;1496.0
151;2493556.0;LE TERIBLE NOIR;1504.2853360897218
152;2454312.0;CALINELLA;1470.0432999128116
153;2476259.0;UPENDI;1507.3981550686187
154;2492032.0;SWING VALLEY;1528.245269545544
155;2485239.0;MISS JULIA STAR;1575.1462942971523
156;2479793.0;MALAGUETA;1527.6660799696658
157;2496567.0;LUNE D'ALIENOR;1496.8519445810916
158;2486200.0;DAENERYS;1424.6667509417766
159;2500650.0;GISORS;1486.6604877710604
160;2500651.0;FALCONRY;1473.0436644537592
161;2500652.0;KASSIANI;1486.4366189103678
162;2485831.0;DIANE DU CHENET;1477.1890999162913
163;2481328.0;LACONQUETE;1529.044137688023
164;2492373.0;LITTLEMISSDYNAMITE;1501.2908696260984
165;2497574.0;BEAUTE PROMISE;1519.5277049081228
166;2478703.0;DIANE BERE;1468.7239595971482
167;2497579.0;MISS SALSA BLUE;1553.9352014956946
168;2450517.0;VALSE AU TAILLONS;1496.0185158112365
169;2499370.0;ALCOOL;1483.161583541767
170;2476059.0;NAOURA;1511.679178789371
171;2500658.0;DAMEBLANCHE SIVOLA;1492.235294117647
172;2468218.0;PERLY FLIGHT;1512.1578535130384
173;2471223.0;MOLLY HAS;1494.1846089721587
174;2500660.0;DU TAC AU TAC;1482.3042300969507
175;2500661.0;DEO GRATIAS;1510.6983229238763
176;2479527.0;KEENLASKA;1537.9490929239425
177;2487788.0;LADY MING;1489.0189052953715
178;2497586.0;BELLE PROVINCIALE;1474.774983545661
179;2472054.0;DONT STOP THEPARTY;1558.6994909915318
180;2498047.0;DARJELING BELLEVUE;1519.930734610648
181;2500653.0;DUC D'AUBRELLE;1498.1903278795764
182;2481344.0;DALAHAST;1555.689245062995
183;2498048.0;DAY FOR VEGA;1479.7483662197105
184;2492592.0;DIABLE D'OSEILLE;1486.0871172674906
185;2472450.0;DESIR DU BOULAY;1473.7357962721728
186;2494608.0;DELICIOUS DREAM;1478.699520893237
187;2490362.0;DON'T WORRY;1514.6681426050768
188;2500654.0;DESESPERADOS;1495.2193759057575
189;2500655.0;DARACARNO;1498.7407821951713
190;2500656.0;DICTON D'ESTRUVAL;1517.6822011316274
191;2465749.0;DAG BLUE;1516.1774761104084
192;2468726.0;DJAZZ DE LOUED;1469.5764087520172
193;2475352.0;DEFI D'ALLIER;1515.4082772878285
194;2496085.0;DOMINGO;1523.3498326988924
195;2470878.0;DEBOUT LES GARS;1494.5178345253353
196;2373345.0;FORTHING;1543.6660717067118
197;2334353.0;AMIRANDE;1485.4375427886216
198;2262275.0;GORVELLO;1492.0
199;2392696.0;BOB AND CO;1492.0
200;2389200.0;PINSON DU RHEU;1474.9063675624427
201;2389759.0;DIAMANT CATALAN;1509.062478202372
202;2435866.0;PAULOUGAS;1539.5823224684018
203;2410572.0;BABY BOY;1526.5017025973204
204;2407428.0;BAZILLE;1526.5130347712245
205;2392084.0;BALKAN DU PECOS;1510.3289574802468
206;2420275.0;SPEED FIRE;1527.568308093356
207;2288186.0;VIEUX MORVAN;1499.607708816833
208;2437839.0;TEBA MATEBA;1523.5474629245837
209;2475284.0;GRIS D'ASPE;1491.7922832040306
210;2461502.0;AL LOPEZ;1500.5903051433736
211;2448248.0;MACHISTADOR;1511.7621956977296
212;2441363.0;MERCENARY;1490.8479588059174
213;2432520.0;DARK SILVER;1491.6
214;2439113.0;SINGARRA;1487.0230677847023
215;2438926.0;MILK BAR;1554.7343646247048
216;2423404.0;DIEGO BERE;1485.9968769326451
217;2430872.0;OLGIVANNA;1500.1974293307094
218;2440975.0;QUI IRA LOIN;1513.0626447740008
219;2422504.0;CANITIE;1521.3721260947589
220;2426121.0;MENTHE POIVREE;1463.4006136854025
221;2446300.0;CHAMPI DE BERSY;1491.0869215563957
222;2454528.0;ZEAUDIAK;1508.8888620527293
223;2456337.0;COUP DE FOUDRE;1472.087072090873
224;2401427.0;RADIOLOGUE;1546.0990592444805
225;2426627.0;ETOILE DES AS;1489.6236461386247
226;2492005.0;MANICO DES LOGES;1486.347498570828
227;2458830.0;HER BREIZ;1502.5227583973583
228;2401660.0;DULCE PANEM;1480.838622110811
229;2314268.0;JS LEXUS;1483.3380673761822
230;2347937.0;HARIBO VENUS;1460.034497762307
231;2211671.0;MS HIDALGO;1490.7601110742867
232;2315860.0;AMERIGO;1492.8707757254883
233;2344090.0;ROYAL JET;1471.9671744643742
234;2355289.0;CHABICOU SR;1516.7080316200465
